Date,Time,heart rate variability
2025.11.03 06:15:39,06:15:39,68.0
2025.11.03 06:20:39,06:20:39,52.0
2025.11.03 06:25:39,06:25:39,85.0
2025.11.03 06:30:39,06:30:39,75.0
2025.11.03 06:35:39,06:35:39,66.0
2025.11.03 06:40:39,06:40:39,67.0
2025.11.03 06:45:39,06:45:39,57.0
2025.11.03 06:50:39,06:50:39,41.0
2025.11.03 22:10:40,22:10:40,64.0
2025.11.03 22:15:40,22:15:40,67.0
2025.11.03 22:20:40,22:20:40,62.0
2025.11.03 22:25:40,22:25:40,66.0
2025.11.03 22:30:40,22:30:40,67.0
2025.11.03 22:35:40,22:35:40,75.0
2025.11.03 22:40:40,22:40:40,58.0
2025.11.03 23:00:40,23:00:40,67.0
2025.11.03 23:10:40,23:10:40,57.0
2025.11.03 23:15:40,23:15:40,86.0
2025.11.03 23:20:40,23:20:40,60.0
2025.11.03 23:25:40,23:25:40,60.0
2025.11.03 23:30:40,23:30:40,66.0
2025.11.03 23:35:40,23:35:40,72.0
2025.11.03 23:40:40,23:40:40,62.0
2025.11.03 23:45:40,23:45:40,66.0
2025.11.03 23:50:40,23:50:40,58.0
2025.11.03 23:55:40,23:55:40,54.0
2025.11.04 00:00:40,00:00:40,45.0
2025.11.04 00:05:40,00:05:40,38.0
2025.11.04 00:10:40,00:10:40,44.0
2025.11.04 00:15:40,00:15:40,47.0
2025.11.04 00:20:40,00:20:40,63.0
2025.11.04 00:25:40,00:25:40,51.0
2025.11.04 00:30:40,00:30:40,53.0
2025.11.04 00:35:40,00:35:40,60.0
2025.11.04 00:40:40,00:40:40,53.0
2025.11.04 00:45:40,00:45:40,66.0
2025.11.04 00:50:40,00:50:40,69.0
2025.11.04 00:55:40,00:55:40,73.0
2025.11.04 01:00:40,01:00:40,62.0
2025.11.04 01:05:40,01:05:40,79.0
2025.11.04 01:10:40,01:10:40,73.0
2025.11.04 01:15:40,01:15:40,63.0
2025.11.04 01:20:40,01:20:40,72.0
2025.11.04 01:25:40,01:25:40,59.0
2025.11.04 01:30:40,01:30:40,89.0
2025.11.04 01:35:40,01:35:40,80.0
2025.11.04 01:40:40,01:40:40,56.0
2025.11.04 01:45:40,01:45:40,74.0
2025.11.04 01:50:40,01:50:40,74.0
2025.11.04 01:55:40,01:55:40,71.0
2025.11.04 02:00:40,02:00:40,77.0
2025.11.04 02:05:40,02:05:40,57.0
2025.11.04 02:10:40,02:10:40,46.0
2025.11.04 02:15:40,02:15:40,72.0
2025.11.04 02:20:40,02:20:40,69.0
2025.11.04 02:25:40,02:25:40,89.0
2025.11.04 02:30:40,02:30:40,59.0
2025.11.04 02:35:40,02:35:40,70.0
2025.11.04 02:40:40,02:40:40,64.0
2025.11.04 02:45:40,02:45:40,63.0
2025.11.04 02:50:40,02:50:40,56.0
2025.11.04 02:55:40,02:55:40,54.0
2025.11.04 03:00:40,03:00:40,75.0
2025.11.04 03:05:40,03:05:40,72.0
2025.11.04 03:10:40,03:10:40,63.0
2025.11.04 03:15:40,03:15:40,55.0
2025.11.04 03:20:40,03:20:40,68.0
2025.11.04 03:25:40,03:25:40,68.0
2025.11.04 03:30:40,03:30:40,70.0
2025.11.04 03:35:40,03:35:40,67.0
2025.11.04 03:40:40,03:40:40,55.0
2025.11.04 03:45:40,03:45:40,40.0
2025.11.04 03:50:40,03:50:40,40.0
