Date,Time,Steps,Source
2024.11.10 06.15,06.15,39,nl.appyhapps.healthsync
2024.11.10 06.30,06.30,44,nl.appyhapps.healthsync
2024.11.10 06.45,06.45,59,nl.appyhapps.healthsync
2024.11.10 07.15,07.15,24,nl.appyhapps.healthsync
2024.11.10 08.00,08.00,56,nl.appyhapps.healthsync
2024.11.10 08.15,08.15,82,nl.appyhapps.healthsync
2024.11.10 08.30,08.30,26,nl.appyhapps.healthsync
2024.11.10 09.15,09.15,226,nl.appyhapps.healthsync
2024.11.10 09.30,09.30,467,nl.appyhapps.healthsync
2024.11.10 09.45,09.45,315,nl.appyhapps.healthsync
2024.11.10 10.00,10.00,322,nl.appyhapps.healthsync
2024.11.10 10.15,10.15,149,nl.appyhapps.healthsync
2024.11.10 10.30,10.30,360,nl.appyhapps.healthsync
2024.11.10 10.45,10.45,240,nl.appyhapps.healthsync
2024.11.10 11.00,11.00,494,nl.appyhapps.healthsync
2024.11.10 11.15,11.15,268,nl.appyhapps.healthsync
2024.11.10 11.30,11.30,268,nl.appyhapps.healthsync
2024.11.10 11.45,11.45,172,nl.appyhapps.healthsync
2024.11.10 12.00,12.00,105,nl.appyhapps.healthsync
2024.11.10 12.15,12.15,231,nl.appyhapps.healthsync
2024.11.10 12.30,12.30,239,nl.appyhapps.healthsync
2024.11.10 12.45,12.45,199,nl.appyhapps.healthsync
2024.11.10 13.15,13.15,86,nl.appyhapps.healthsync
2024.11.10 14.00,14.00,122,nl.appyhapps.healthsync
2024.11.10 14.15,14.15,129,nl.appyhapps.healthsync
2024.11.10 14.30,14.30,28,nl.appyhapps.healthsync
2024.11.10 15.00,15.00,72,nl.appyhapps.healthsync
2024.11.10 15.30,15.30,33,nl.appyhapps.healthsync
2024.11.10 16.30,16.30,9,nl.appyhapps.healthsync
2024.11.10 16.45,16.45,94,nl.appyhapps.healthsync
2024.11.10 17.15,17.15,11,nl.appyhapps.healthsync
2024.11.10 17.30,17.30,92,nl.appyhapps.healthsync
2024.11.10 17.45,17.45,54,nl.appyhapps.healthsync
2024.11.10 18.00,18.00,17,nl.appyhapps.healthsync
2024.11.10 18.15,18.15,462,nl.appyhapps.healthsync
2024.11.10 18.30,18.30,230,nl.appyhapps.healthsync
2024.11.10 18.45,18.45,11,nl.appyhapps.healthsync
2024.11.10 19.00,19.00,27,nl.appyhapps.healthsync
2024.11.10 19.15,19.15,274,nl.appyhapps.healthsync
2024.11.10 19.30,19.30,141,nl.appyhapps.healthsync
2024.11.10 19.45,19.45,170,nl.appyhapps.healthsync
2024.11.10 20.00,20.00,28,nl.appyhapps.healthsync
2024.11.10 20.30,20.30,26,nl.appyhapps.healthsync
2024.11.10 20.45,20.45,105,nl.appyhapps.healthsync
2024.11.10 21.00,21.00,61,nl.appyhapps.healthsync
2024.11.10 21.30,21.30,27,nl.appyhapps.healthsync
2024.11.10 21.45,21.45,130,nl.appyhapps.healthsync
2024.11.11 01.30,01.30,35,nl.appyhapps.healthsync
2024.11.11 07.45,07.45,26,nl.appyhapps.healthsync
2024.11.11 08.00,08.00,75,nl.appyhapps.healthsync
2024.11.11 08.15,08.15,33,nl.appyhapps.healthsync
2024.11.11 08.30,08.30,722,nl.appyhapps.healthsync
2024.11.11 08.45,08.45,2287,nl.appyhapps.healthsync
2024.11.11 09.00,09.00,2091,nl.appyhapps.healthsync
2024.11.11 09.15,09.15,1115,nl.appyhapps.healthsync
2024.11.11 09.45,09.45,63,nl.appyhapps.healthsync
2024.11.11 10.00,10.00,121,nl.appyhapps.healthsync
2024.11.11 10.15,10.15,8,nl.appyhapps.healthsync
2024.11.11 10.45,10.45,106,nl.appyhapps.healthsync
2024.11.11 11.00,11.00,117,nl.appyhapps.healthsync
2024.11.11 11.30,11.30,150,nl.appyhapps.healthsync
2024.11.11 11.45,11.45,33,nl.appyhapps.healthsync
2024.11.11 12.15,12.15,120,nl.appyhapps.healthsync
2024.11.11 12.45,12.45,118,nl.appyhapps.healthsync
2024.11.11 13.00,13.00,88,nl.appyhapps.healthsync
2024.11.11 13.15,13.15,104,nl.appyhapps.healthsync
2024.11.11 13.30,13.30,37,nl.appyhapps.healthsync
2024.11.11 13.45,13.45,138,nl.appyhapps.healthsync
2024.11.11 14.00,14.00,103,nl.appyhapps.healthsync
2024.11.11 14.45,14.45,51,nl.appyhapps.healthsync
2024.11.11 15.00,15.00,11,nl.appyhapps.healthsync
2024.11.11 15.15,15.15,16,nl.appyhapps.healthsync
2024.11.11 15.30,15.30,15,nl.appyhapps.healthsync
2024.11.11 15.45,15.45,46,nl.appyhapps.healthsync
2024.11.11 16.30,16.30,147,nl.appyhapps.healthsync
2024.11.11 16.45,16.45,149,nl.appyhapps.healthsync
2024.11.11 17.00,17.00,11,nl.appyhapps.healthsync
2024.11.11 17.30,17.30,25,nl.appyhapps.healthsync
2024.11.11 17.45,17.45,227,nl.appyhapps.healthsync
2024.11.11 18.15,18.15,15,nl.appyhapps.healthsync
2024.11.11 18.30,18.30,275,nl.appyhapps.healthsync
2024.11.11 19.00,19.00,170,nl.appyhapps.healthsync
2024.11.11 20.15,20.15,219,nl.appyhapps.healthsync
2024.11.11 20.30,20.30,216,nl.appyhapps.healthsync
